Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,job_state,same_state,company_age,job_simp,seniority,posting_date,posting_month,platform,work_setting,degree_required,min_experience_years,max_experience_years,is_urban,ai_mentioned,role_family,python,excel,hadoop,spark,aws,tableau,big_data
Business Intelligence Analyst,$82373-109390,"We are looking for a Business Intelligence Analyst to join our education team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.4,NovaTech,"Seattle, WA","New York, NY",501 to 1000 employees,Company - Private,Manufacturing,Education,$500 million to $1 billion (USD),82373,109390,95881,WA,1,18,bi analyst,mid,2024-02-11,2024-02,Glassdoor,Remote,MS,2,5,Non-Urban,0,Business Intelligence,1,0,0,1,0,0,0
Reporting Analyst,$109046-120655,"We are looking for a Reporting Analyst to join our healthcare team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.5,Greenfield Health,"Boston, MA","San Francisco, CA",1001 to 5000 employees,Government,Financial Services,Healthcare,$50 to $100 million (USD),109046,120655,114850,MA,1,31,bi analyst,senior,2024-01-25,2024-01,Indeed,Hybrid,PhD,5,7,Urban,0,Business Intelligence,1,0,0,0,1,0,0
Applied Data Scientist,$74322-94043,"We are looking for a Applied Data Scientist to join our tech team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",4.0,MetroBank,"Austin, TX","San Francisco, CA",5001 to 10000 employees,Company - Private,Consulting,Tech,$10+ billion (USD),74322,94043,84182,TX,1,45,data scientist,mid,2024-09-16,2024-09,LinkedIn,Remote,MS,2,5,Non-Urban,0,Data Scientist,1,1,0,0,0,0,0
Data Scientist,$129606-142517,"We are looking for a Data Scientist to join our industrial team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.1,RetailVision,"Miami, FL","Chicago, IL",10000+ employees,Company - Public,Telecommunications,Industrial,$5 to $10 billion (USD),129606,142517,136061,FL,1,66,data scientist,senior,2024-03-10,2024-03,LinkedIn,Onsite,MS,4,7,Urban,1,Data Scientist,1,0,0,1,0,0,0
Reporting Analyst,$79268-97086,"We are looking for a Reporting Analyst to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",4.3,RetailVision,"New York, NY","Chicago, IL",201 to 500 employees,Company - Private,Consulting,Consumer,$1 to $5 billion (USD),79268,97086,88177,NY,1,24,bi analyst,mid,2024-07-16,2024-07,Glassdoor,Onsite,MS,4,6,Non-Urban,0,Business Intelligence,1,1,0,0,1,0,1
Analytics Engineer,$57251-83451,"We are looking for a Analytics Engineer to join our industrial team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.6,Greenfield Health,"Atlanta, GA","Austin, TX",1001 to 5000 employees,Government,Health Care,Industrial,$5 to $10 billion (USD),57251,83451,70351,GA,1,19,data engineer,jr,2024-01-22,2024-01,Glassdoor,Hybrid,BA/BS,1,3,Urban,1,Data Engineer,1,1,0,0,0,1,0
Business Intelligence Analyst,$58337-84958,"We are looking for a Business Intelligence Analyst to join our industrial team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.7,RetailVision,"Seattle, WA","Austin, TX",1001 to 5000 employees,Company - Private,Health Care,Industrial,$5 to $10 billion (USD),58337,84958,71647,WA,1,64,bi analyst,jr,2024-07-09,2024-07,Company Site,Onsite,None,2,3,Non-Urban,1,Business Intelligence,1,1,1,0,0,0,0
Business Intelligence Analyst,$89747-110573,"We are looking for a Business Intelligence Analyst to join our tech team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.3,MetroBank,"Atlanta, GA","Austin, TX",51 to 200 employees,Company - Private,Health Care,Tech,$5 to $10 billion (USD),89747,110573,100160,GA,1,23,bi analyst,mid,2024-12-31,2024-12,Company Site,Onsite,MS,4,6,Urban,1,Business Intelligence,1,0,0,0,1,0,0
Data Engineer,$64310-80463,"We are looking for a Data Engineer to join our education team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",4.1,NovaTech,"New York, NY","Chicago, IL",1001 to 5000 employees,Nonprofit Organization,Telecommunications,Education,$25 to $50 million (USD),64310,80463,72386,NY,1,10,data engineer,jr,2024-02-14,2024-02,LinkedIn,Remote,BA/BS,2,3,Non-Urban,0,Data Engineer,0,1,0,0,0,0,0
Reporting Analyst,$138261-156007,"We are looking for a Reporting Analyst to join our education team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.5,BrightPath Education,"Chicago, IL","San Francisco, CA",501 to 1000 employees,Company - Private,Financial Services,Education,$25 to $50 million (USD),138261,156007,147134,IL,1,36,bi analyst,senior,2024-03-23,2024-03,Glassdoor,Onsite,BA/BS,5,9,Non-Urban,0,Business Intelligence,0,1,0,0,1,0,0
Applied Data Scientist,$143432-163196,"We are looking for a Applied Data Scientist to join our tech team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.1,Urban Insights,"Chicago, IL","San Francisco, CA",5001 to 10000 employees,Nonprofit Organization,Information Technology,Tech,$5 to $25 million (USD),143432,163196,153314,IL,1,52,data scientist,senior,2024-11-24,2024-11,Glassdoor,Hybrid,PhD,5,9,Urban,1,Data Scientist,0,1,0,0,1,1,0
Analytics Engineer,$81583-95153,"We are looking for a Analytics Engineer to join our education team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.6,NovaTech,"Austin, TX","Austin, TX",501 to 1000 employees,Company - Public,Consulting,Education,$25 to $50 million (USD),81583,95153,88368,TX,1,19,data engineer,jr,2024-06-12,2024-06,Glassdoor,Onsite,None,1,3,Urban,1,Data Engineer,1,1,0,0,0,0,0
Data Analyst,$98325-119242,"We are looking for a Data Analyst to join our finance team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.8,Urban Insights,"Seattle, WA","Seattle, WA",5001 to 10000 employees,Nonprofit Organization,Retail,Finance,$5 to $10 billion (USD),98325,119242,108783,WA,1,7,data analyst,mid,2024-08-27,2024-08,Company Site,Onsite,MS,2,3,Non-Urban,1,Data Analyst,0,1,0,0,0,0,0
Junior Data Analyst,$106159-129633,"We are looking for a Junior Data Analyst to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.1,Acme Analytics,"San Francisco, CA","Austin, TX",51 to 200 employees,Nonprofit Organization,Consulting,Consumer,$500 million to $1 billion (USD),106159,129633,117896,CA,1,51,data analyst,mid,2024-01-27,2024-01,Indeed,Remote,MS,2,4,Non-Urban,0,Data Analyst,1,0,0,0,0,1,0
Analytics Engineer,$131597-147221,"We are looking for a Analytics Engineer to join our tech team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.3,MetroBank,"Miami, FL","Austin, TX",1001 to 5000 employees,Company - Private,Information Technology,Tech,$25 to $50 million (USD),131597,147221,139409,FL,1,66,data engineer,senior,2024-08-30,2024-08,Company Site,Remote,PhD,4,7,Non-Urban,1,Data Engineer,0,1,0,0,1,1,0
Reporting Analyst,$75055-96517,"We are looking for a Reporting Analyst to join our healthcare team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.3,Northstar Data,"Austin, TX","Seattle, WA",201 to 500 employees,Company - Private,Telecommunications,Healthcare,$50 to $100 million (USD),75055,96517,85786,TX,1,54,bi analyst,mid,2024-10-25,2024-10,Company Site,Remote,MS,2,5,Urban,1,Business Intelligence,1,0,0,0,1,1,0
Applied Data Scientist,$116639-141583,"We are looking for a Applied Data Scientist to join our education team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.8,MetroBank,"Denver, CO","New York, NY",5001 to 10000 employees,Company - Public,Retail,Education,$500 million to $1 billion (USD),116639,141583,129111,CO,1,36,data scientist,senior,2024-09-01,2024-09,Company Site,Remote,BA/BS,5,9,Non-Urban,1,Data Scientist,0,1,1,0,1,1,0
Data Engineer,$95544-120248,"We are looking for a Data Engineer to join our tech team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.7,NovaTech,"Seattle, WA","Austin, TX",201 to 500 employees,Nonprofit Organization,Education,Tech,$10+ billion (USD),95544,120248,107896,WA,1,33,data engineer,mid,2024-07-21,2024-07,Glassdoor,Onsite,BA/BS,3,4,Non-Urban,0,Data Engineer,0,0,0,0,1,0,0
Business Intelligence Analyst,$73206-96856,"We are looking for a Business Intelligence Analyst to join our tech team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.4,Greenfield Health,"Chicago, IL","New York, NY",1001 to 5000 employees,Company - Public,Retail,Tech,$10+ billion (USD),73206,96856,85031,IL,1,21,bi analyst,jr,2024-04-29,2024-04,LinkedIn,Remote,BA/BS,2,3,Urban,0,Business Intelligence,1,0,0,0,0,0,0
Reporting Analyst,$88365-108333,"We are looking for a Reporting Analyst to join our finance team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",4.6,Greenfield Health,"New York, NY","New York, NY",5001 to 10000 employees,Company - Public,Information Technology,Finance,$1 to $5 billion (USD),88365,108333,98349,NY,1,14,bi analyst,mid,2024-03-31,2024-03,LinkedIn,Onsite,MS,3,4,Non-Urban,0,Business Intelligence,0,0,0,0,1,0,0
Analytics Engineer,$106269-138930,"We are looking for a Analytics Engineer to join our healthcare team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",4.3,Urban Insights,"Miami, FL","Austin, TX",201 to 500 employees,Company - Public,Financial Services,Healthcare,$25 to $50 million (USD),106269,138930,122599,FL,1,52,data engineer,mid,2024-11-27,2024-11,Glassdoor,Onsite,BA/BS,4,6,Non-Urban,0,Data Engineer,0,1,0,0,0,0,0
Reporting Analyst,$71572-86161,"We are looking for a Reporting Analyst to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.8,Urban Insights,"Denver, CO","Chicago, IL",51 to 200 employees,Company - Private,Education,Consumer,$50 to $100 million (USD),71572,86161,78866,CO,1,21,bi analyst,jr,2024-05-16,2024-05,Glassdoor,Remote,None,1,3,Non-Urban,0,Business Intelligence,1,0,0,0,0,0,0
Reporting Analyst,$112861-133715,"We are looking for a Reporting Analyst to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.7,MetroBank,"Boston, MA","San Francisco, CA",51 to 200 employees,Government,Health Care,Consumer,$500 million to $1 billion (USD),112861,133715,123288,MA,1,65,bi analyst,senior,2024-10-08,2024-10,Company Site,Onsite,PhD,4,6,Urban,1,Business Intelligence,1,0,0,0,1,1,1
Data Scientist,$62226-87990,"We are looking for a Data Scientist to join our tech team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.2,Northstar Data,"Boston, MA","Seattle, WA",501 to 1000 employees,Company - Private,Telecommunications,Tech,$5 to $10 billion (USD),62226,87990,75108,MA,1,6,data scientist,jr,2024-07-31,2024-07,Company Site,Hybrid,BA/BS,2,3,Urban,1,Data Scientist,0,1,0,0,0,0,0
Reporting Analyst,$105312-125165,"We are looking for a Reporting Analyst to join our finance team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.7,Northstar Data,"Denver, CO","New York, NY",201 to 500 employees,Government,Health Care,Finance,$1 to $5 billion (USD),105312,125165,115238,CO,1,51,bi analyst,senior,2024-07-14,2024-07,Company Site,Onsite,MS,5,7,Urban,0,Business Intelligence,1,0,0,0,0,1,0
Data Scientist,$84406-99666,"We are looking for a Data Scientist to join our finance team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.6,NovaTech,"Miami, FL","Austin, TX",1001 to 5000 employees,Government,Retail,Finance,$5 to $10 billion (USD),84406,99666,92036,FL,1,77,data scientist,jr,2024-05-21,2024-05,Indeed,Onsite,None,0,2,Non-Urban,0,Data Scientist,0,1,1,0,0,0,0
Junior Data Analyst,$153244-168050,"We are looking for a Junior Data Analyst to join our finance team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",4.8,Acme Analytics,"Austin, TX","Austin, TX",51 to 200 employees,Company - Public,Information Technology,Finance,$10+ billion (USD),153244,168050,160647,TX,1,76,data analyst,senior,2024-04-29,2024-04,Glassdoor,Hybrid,PhD,5,7,Non-Urban,0,Data Analyst,0,1,0,0,1,1,1
Applied Data Scientist,$141713-158123,"We are looking for a Applied Data Scientist to join our finance team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.7,FinSight Capital,"Miami, FL","Chicago, IL",5001 to 10000 employees,Government,Manufacturing,Finance,$100 to $500 million (USD),141713,158123,149918,FL,1,72,data scientist,senior,2024-10-02,2024-10,Company Site,Remote,BA/BS,5,9,Urban,0,Data Scientist,0,0,0,0,0,1,0
Applied Data Scientist,$65024-83766,"We are looking for a Applied Data Scientist to join our healthcare team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.2,Northstar Data,"Denver, CO","Chicago, IL",1 to 50 employees,Company - Public,Information Technology,Healthcare,$1 to $5 billion (USD),65024,83766,74395,CO,1,16,data scientist,jr,2024-11-04,2024-11,LinkedIn,Onsite,None,2,4,Urban,1,Data Scientist,1,0,1,0,1,0,0
Business Intelligence Analyst,$146260-166108,"We are looking for a Business Intelligence Analyst to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",4.2,CloudScale Labs,"Miami, FL","Chicago, IL",10000+ employees,Nonprofit Organization,Manufacturing,Consumer,$10+ billion (USD),146260,166108,156184,FL,1,73,bi analyst,senior,2024-06-06,2024-06,Glassdoor,Remote,MS,5,7,Non-Urban,0,Business Intelligence,0,1,1,0,0,1,0
Data Scientist,$59480-88113,"We are looking for a Data Scientist to join our finance team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.0,MetroBank,"Austin, TX","Chicago, IL",51 to 200 employees,Company - Public,Consulting,Finance,$1 to $5 billion (USD),59480,88113,73796,TX,1,63,data scientist,jr,2024-05-05,2024-05,Company Site,Hybrid,BA/BS,1,2,Non-Urban,1,Data Scientist,1,0,0,0,1,1,0
Data Scientist,$110999-135618,"We are looking for a Data Scientist to join our industrial team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.0,Acme Analytics,"New York, NY","Austin, TX",51 to 200 employees,Company - Public,Financial Services,Industrial,$25 to $50 million (USD),110999,135618,123308,NY,1,53,data scientist,senior,2024-09-15,2024-09,Company Site,Remote,PhD,6,10,Non-Urban,0,Data Scientist,1,0,0,0,0,0,0
Data Analyst,$119228-142702,"We are looking for a Data Analyst to join our tech team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.3,Acme Analytics,"Miami, FL","Austin, TX",10000+ employees,Company - Public,Financial Services,Tech,$10+ billion (USD),119228,142702,130965,FL,1,11,data analyst,senior,2024-04-08,2024-04,Glassdoor,Onsite,MS,5,7,Non-Urban,0,Data Analyst,0,1,0,0,1,0,1
Data Analyst,$98676-123910,"We are looking for a Data Analyst to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.2,NovaTech,"New York, NY","New York, NY",5001 to 10000 employees,Company - Public,Financial Services,Consumer,$1 to $5 billion (USD),98676,123910,111293,NY,1,73,data analyst,mid,2024-06-18,2024-06,LinkedIn,Onsite,BA/BS,2,3,Non-Urban,1,Data Analyst,0,0,0,0,1,0,0
Data Analyst,$77632-100643,"We are looking for a Data Analyst to join our education team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.2,Urban Insights,"Austin, TX","New York, NY",201 to 500 employees,Company - Public,Retail,Education,$1 to $5 billion (USD),77632,100643,89137,TX,1,10,data analyst,mid,2024-10-03,2024-10,Glassdoor,Remote,BA/BS,4,7,Urban,1,Data Analyst,1,0,0,0,0,1,0
Analytics Engineer,$77463-104778,"We are looking for a Analytics Engineer to join our finance team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.2,NovaTech,"Denver, CO","San Francisco, CA",201 to 500 employees,Government,Manufacturing,Finance,$1 to $5 billion (USD),77463,104778,91120,CO,1,12,data engineer,mid,2024-11-12,2024-11,Glassdoor,Onsite,BA/BS,2,4,Urban,1,Data Engineer,0,1,1,0,1,1,0
Junior Data Analyst,$99168-115261,"We are looking for a Junior Data Analyst to join our tech team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.2,Urban Insights,"San Francisco, CA","San Francisco, CA",501 to 1000 employees,Government,Manufacturing,Tech,$1 to $5 million (USD),99168,115261,107214,CA,1,22,data analyst,mid,2024-10-10,2024-10,LinkedIn,Hybrid,MS,3,4,Non-Urban,1,Data Analyst,0,1,0,0,0,0,0
Business Intelligence Analyst,$63878-83208,"We are looking for a Business Intelligence Analyst to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.9,NovaTech,"Chicago, IL","New York, NY",51 to 200 employees,Government,Education,Consumer,$100 to $500 million (USD),63878,83208,73543,IL,1,1,bi analyst,jr,2024-02-09,2024-02,Glassdoor,Remote,None,2,4,Non-Urban,0,Business Intelligence,0,0,0,1,0,1,0
Reporting Analyst,$129497-152108,"We are looking for a Reporting Analyst to join our education team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.9,RetailVision,"Austin, TX","Seattle, WA",51 to 200 employees,Nonprofit Organization,Consulting,Education,$50 to $100 million (USD),129497,152108,140802,TX,1,47,bi analyst,senior,2024-03-31,2024-03,Company Site,Onsite,MS,6,10,Non-Urban,0,Business Intelligence,0,0,0,1,1,0,0
Senior Data Analyst,$70467-92353,"We are looking for a Senior Data Analyst to join our healthcare team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",4.5,BrightPath Education,"New York, NY","Austin, TX",5001 to 10000 employees,Company - Public,Telecommunications,Healthcare,$5 to $25 million (USD),70467,92353,81410,NY,1,62,data analyst,jr,2024-07-28,2024-07,Company Site,Remote,BA/BS,0,1,Urban,0,Data Analyst,1,1,0,0,0,0,0
Reporting Analyst,$106519-133904,"We are looking for a Reporting Analyst to join our finance team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.0,BrightPath Education,"San Francisco, CA","New York, NY",10000+ employees,Company - Public,Consulting,Finance,$1 to $5 million (USD),106519,133904,120211,CA,1,51,bi analyst,senior,2024-11-26,2024-11,Company Site,Onsite,MS,5,7,Urban,1,Business Intelligence,0,1,0,0,0,0,0
Business Intelligence Analyst,$73700-93321,"We are looking for a Business Intelligence Analyst to join our healthcare team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.8,Greenfield Health,"Austin, TX","New York, NY",1 to 50 employees,Company - Public,Consulting,Healthcare,$500 million to $1 billion (USD),73700,93321,83510,TX,1,14,bi analyst,mid,2024-04-15,2024-04,Company Site,Remote,BA/BS,3,6,Non-Urban,1,Business Intelligence,1,0,0,1,1,0,0
Data Scientist,$112390-134055,"We are looking for a Data Scientist to join our industrial team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.3,RetailVision,"Miami, FL","Austin, TX",501 to 1000 employees,Company - Public,Manufacturing,Industrial,$25 to $50 million (USD),112390,134055,123222,FL,1,9,data scientist,senior,2024-12-02,2024-12,Company Site,Remote,PhD,6,8,Non-Urban,0,Data Scientist,1,0,0,1,1,0,0
Senior Data Analyst,$66646-85214,"We are looking for a Senior Data Analyst to join our education team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",4.1,NovaTech,"San Francisco, CA","Chicago, IL",5001 to 10000 employees,Government,Consulting,Education,$1 to $5 billion (USD),66646,85214,75930,CA,1,40,data analyst,jr,2024-10-27,2024-10,LinkedIn,Remote,BA/BS,2,2,Non-Urban,0,Data Analyst,1,0,1,0,1,1,0
Data Analyst,$80895-105628,"We are looking for a Data Analyst to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.2,FinSight Capital,"Chicago, IL","Seattle, WA",501 to 1000 employees,Government,Health Care,Consumer,$10+ billion (USD),80895,105628,93261,IL,1,63,data analyst,mid,2024-11-26,2024-11,Indeed,Hybrid,MS,3,4,Urban,1,Data Analyst,1,1,0,0,0,0,0
Data Scientist,$105015-129827,"We are looking for a Data Scientist to join our education team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",4.4,NovaTech,"Austin, TX","Austin, TX",501 to 1000 employees,Company - Public,Financial Services,Education,$1 to $5 million (USD),105015,129827,117421,TX,1,35,data scientist,mid,2024-04-22,2024-04,Glassdoor,Remote,BA/BS,4,6,Urban,0,Data Scientist,1,0,0,0,1,1,0
Data Engineer,$129974-152505,"We are looking for a Data Engineer to join our healthcare team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",4.6,FinSight Capital,"San Francisco, CA","San Francisco, CA",201 to 500 employees,Company - Private,Telecommunications,Healthcare,$500 million to $1 billion (USD),129974,152505,141239,CA,1,27,data engineer,senior,2024-02-14,2024-02,Company Site,Onsite,BA/BS,4,6,Non-Urban,0,Data Engineer,1,0,0,0,1,1,0
Senior Data Analyst,$110278-134661,"We are looking for a Senior Data Analyst to join our education team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",4.7,BrightPath Education,"Chicago, IL","Chicago, IL",5001 to 10000 employees,Nonprofit Organization,Education,Education,$100 to $500 million (USD),110278,134661,122469,IL,1,32,data analyst,mid,2024-09-20,2024-09,LinkedIn,Remote,MS,2,4,Urban,0,Data Analyst,0,1,0,1,0,0,0
Reporting Analyst,$74519-99207,"We are looking for a Reporting Analyst to join our education team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",4.3,FinSight Capital,"Austin, TX","Austin, TX",1 to 50 employees,Company - Private,Manufacturing,Education,$100 to $500 million (USD),74519,99207,86863,TX,1,51,bi analyst,jr,2024-07-07,2024-07,Company Site,Onsite,BA/BS,2,2,Urban,0,Business Intelligence,1,0,0,0,1,0,0
Applied Data Scientist,$71811-91499,"We are looking for a Applied Data Scientist to join our healthcare team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.1,Greenfield Health,"Seattle, WA","Seattle, WA",1001 to 5000 employees,Company - Public,Telecommunications,Healthcare,$1 to $5 million (USD),71811,91499,81655,WA,1,39,data scientist,jr,2024-11-16,2024-11,Company Site,Remote,None,1,2,Urban,0,Data Scientist,0,1,0,0,1,0,0
Applied Data Scientist,$75544-95551,"We are looking for a Applied Data Scientist to join our industrial team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.8,Northstar Data,"Seattle, WA","San Francisco, CA",1 to 50 employees,Government,Education,Industrial,$50 to $100 million (USD),75544,95551,85547,WA,1,16,data scientist,jr,2024-02-16,2024-02,LinkedIn,Remote,BA/BS,0,0,Urban,1,Data Scientist,1,0,0,0,0,1,0
Business Intelligence Analyst,$80890-100917,"We are looking for a Business Intelligence Analyst to join our finance team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.4,Northstar Data,"San Francisco, CA","New York, NY",201 to 500 employees,Nonprofit Organization,Education,Finance,$1 to $5 billion (USD),80890,100917,90903,CA,1,79,bi analyst,mid,2024-03-09,2024-03,Indeed,Remote,BA/BS,4,7,Urban,1,Business Intelligence,1,1,0,0,1,0,0
Business Intelligence Analyst,$60999-85620,"We are looking for a Business Intelligence Analyst to join our finance team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.2,Northstar Data,"Austin, TX","Chicago, IL",501 to 1000 employees,Nonprofit Organization,Health Care,Finance,$100 to $500 million (USD),60999,85620,73309,TX,1,31,bi analyst,jr,2024-05-07,2024-05,Glassdoor,Onsite,None,2,3,Urban,1,Business Intelligence,0,1,1,0,1,1,0
Reporting Analyst,$59714-88353,"We are looking for a Reporting Analyst to join our finance team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",4.5,MetroBank,"San Francisco, CA","Seattle, WA",1 to 50 employees,Nonprofit Organization,Consulting,Finance,$1 to $5 billion (USD),59714,88353,74033,CA,1,51,bi analyst,jr,2024-10-18,2024-10,Company Site,Remote,None,1,1,Urban,0,Business Intelligence,0,0,1,0,1,0,0
Analytics Engineer,$105013-126857,"We are looking for a Analytics Engineer to join our healthcare team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.9,BrightPath Education,"Miami, FL","Seattle, WA",51 to 200 employees,Nonprofit Organization,Financial Services,Healthcare,$5 to $25 million (USD),105013,126857,115935,FL,1,15,data engineer,mid,2024-04-14,2024-04,Indeed,Hybrid,MS,4,7,Urban,1,Data Engineer,1,1,0,1,0,0,0
Business Intelligence Analyst,$89555-101718,"We are looking for a Business Intelligence Analyst to join our finance team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.2,Urban Insights,"New York, NY","San Francisco, CA",501 to 1000 employees,Nonprofit Organization,Education,Finance,$500 million to $1 billion (USD),89555,101718,95636,NY,1,47,bi analyst,mid,2024-05-17,2024-05,LinkedIn,Onsite,BA/BS,3,5,Non-Urban,1,Business Intelligence,1,1,0,0,0,0,0
Junior Data Analyst,$114912-133513,"We are looking for a Junior Data Analyst to join our industrial team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.0,Greenfield Health,"San Francisco, CA","Seattle, WA",5001 to 10000 employees,Company - Private,Retail,Industrial,$10+ billion (USD),114912,133513,124212,CA,1,54,data analyst,senior,2024-01-07,2024-01,Indeed,Remote,MS,5,7,Urban,0,Data Analyst,0,0,1,0,0,1,0
Analytics Engineer,$72620-90684,"We are looking for a Analytics Engineer to join our tech team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.6,BrightPath Education,"New York, NY","San Francisco, CA",51 to 200 employees,Company - Private,Manufacturing,Tech,$5 to $10 billion (USD),72620,90684,81652,NY,1,26,data engineer,jr,2024-06-08,2024-06,Glassdoor,Remote,BA/BS,0,1,Urban,1,Data Engineer,0,1,0,1,0,1,0
